survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,relevance,novelty,satisfaction,age,country,age_group,model_type
4,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,3,4,52,GBR,>35,Unimodal (Audio Only)
4,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,52,GBR,>35,Unimodal (Audio Only)
4,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,1,1,52,GBR,>35,Unimodal (Audio Only)
4,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,1,52,GBR,>35,Unimodal (Album Covers Only)
4,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,52,GBR,>35,Unimodal (Album Covers Only)
4,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,1,1,52,GBR,>35,Unimodal (Album Covers Only)
4,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,1,52,GBR,>35,Multimodal (Combined)
4,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,52,GBR,>35,Multimodal (Combined)
4,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,1,1,52,GBR,>35,Multimodal (Combined)
5,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,2,1,18,GBR,<20,Multimodal (Combined)
5,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,18,GBR,<20,Multimodal (Combined)
5,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,1,1,18,GBR,<20,Multimodal (Combined)
5,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,1,18,GBR,<20,Unimodal (Album Covers Only)
5,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,18,GBR,<20,Unimodal (Album Covers Only)
5,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,3,1,18,GBR,<20,Unimodal (Album Covers Only)
5,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,1,2,18,GBR,<20,Unimodal (Audio Only)
5,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,18,GBR,<20,Unimodal (Audio Only)
5,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,2,1,18,GBR,<20,Unimodal (Audio Only)
6,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,3,2,32,FIN,20-35,Multimodal (Combined)
6,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,4,3,32,FIN,20-35,Multimodal (Combined)
6,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,5,3,32,FIN,20-35,Multimodal (Combined)
6,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,3,3,32,FIN,20-35,Unimodal (Audio Only)
6,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,4,3,32,FIN,20-35,Unimodal (Audio Only)
6,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,5,2,32,FIN,20-35,Unimodal (Audio Only)
